precision,recall
0.5488482922954726,1.0
0.548489666136725,0.9985528219971056
0.548926014319809,0.9985528219971056
0.5493630573248408,0.9985528219971056
0.549800796812749,0.9985528219971056
0.5502392344497608,0.9985528219971056
0.5506783719074222,0.9985528219971056
0.5511182108626198,0.9985528219971056
0.5515587529976019,0.9985528219971056
0.552,0.9985528219971056
0.5524419535628503,0.9985528219971056
0.5528846153846154,0.9985528219971056
0.5533279871692061,0.9985528219971056
0.5537720706260032,0.9985528219971056
0.5542168674698795,0.9985528219971056
0.5546623794212219,0.9985528219971056
0.5551086082059533,0.9985528219971056
0.5555555555555556,0.9985528219971056
0.5560032232070911,0.9985528219971056
0.5564516129032258,0.9985528219971056
0.5569007263922519,0.9985528219971056
0.5573505654281099,0.9985528219971056
0.5578011317704122,0.9985528219971056
0.558252427184466,0.9985528219971056
0.5587044534412956,0.9985528219971056
0.5591572123176661,0.9985528219971056
0.559610705596107,0.9985528219971056
0.560064935064935,0.9985528219971056
0.5605199025182778,0.9985528219971056
0.5609756097560976,0.9985528219971056
0.5614320585842149,0.9985528219971056
0.5618892508143323,0.9985528219971056
0.5615321923390383,0.9971056439942113
0.5619902120717781,0.9971056439942113
0.5624489795918367,0.9971056439942113
0.5629084967320261,0.9971056439942113
0.5633687653311529,0.9971056439942113
0.5638297872340425,0.9971056439942113
0.5642915642915642,0.9971056439942113
0.5647540983606557,0.9971056439942113
0.5652173913043478,0.9971056439942113
0.5656814449917899,0.9971056439942113
0.5661462612982745,0.9971056439942113
0.5666118421052632,0.9971056439942113
0.5670781893004115,0.9971056439942113
0.5675453047775947,0.9971056439942113
0.5680131904369332,0.9971056439942113
0.5684818481848185,0.9971056439942113
0.5689512799339389,0.9971056439942113
0.5694214876033058,0.9971056439942113
0.5698924731182796,0.9971056439942113
0.570364238410596,0.9971056439942113
0.5708367854183927,0.9971056439942113
0.5713101160862355,0.9971056439942113
0.5717842323651452,0.9971056439942113
0.5722591362126246,0.9971056439942113
0.572734829592685,0.9971056439942113
0.5732113144758736,0.9971056439942113
0.5736885928393006,0.9971056439942113
0.5741666666666667,0.9971056439942113
0.5746455379482902,0.9971056439942113
0.5751252086811353,0.9971056439942113
0.5756056808688388,0.9971056439942113
0.5760869565217391,0.9971056439942113
0.5765690376569038,0.9971056439942113
0.5770519262981575,0.9971056439942113
0.5775356244761106,0.9971056439942113
0.5780201342281879,0.9971056439942113
0.5785054575986566,0.9971056439942113
0.5789915966386555,0.9971056439942113
0.5794785534062237,0.9971056439942113
0.57996632996633,0.9971056439942113
0.5804549283909014,0.9971056439942113
0.5809443507588533,0.9971056439942113
0.5814345991561182,0.9971056439942113
0.5819256756756757,0.9971056439942113
0.5824175824175825,0.9971056439942113
0.5829103214890017,0.9971056439942113
0.5834038950042337,0.9971056439942113
0.5838983050847457,0.9971056439942113
0.5843935538592027,0.9971056439942113
0.5848896434634975,0.9971056439942113
0.5853865760407817,0.9971056439942113
0.5858843537414966,0.9971056439942113
0.5863829787234043,0.9971056439942113
0.5868824531516184,0.9971056439942113
0.587382779198636,0.9971056439942113
0.5878839590443686,0.9971056439942113
0.5883859948761742,0.9971056439942113
0.5888888888888889,0.9971056439942113
0.5893926432848589,0.9971056439942113
0.5898972602739726,0.9971056439942113
0.5904027420736933,0.9971056439942113
0.5909090909090909,0.9971056439942113
0.5914163090128756,0.9971056439942113
0.5919243986254296,0.9971056439942113
0.592433361994841,0.9971056439942113
0.5929432013769363,0.9971056439942113
0.5934539190353144,0.9971056439942113
0.5939655172413794,0.9971056439942113
0.5944779982743744,0.9971056439942113
0.5949913644214162,0.9971056439942113
0.5955056179775281,0.9971056439942113
0.5960207612456747,0.9971056439942113
0.5965367965367966,0.9971056439942113
0.597053726169844,0.9971056439942113
0.5975715524718127,0.9971056439942113
0.5980902777777778,0.9971056439942113
0.5986099044309297,0.9971056439942113
0.5991304347826087,0.9971056439942113
0.5996518711923412,0.9971056439942113
0.6001742160278746,0.9971056439942113
0.6006974716652136,0.9971056439942113
0.6012216404886562,0.9971056439942113
0.6017467248908297,0.9971056439942113
0.6022727272727273,0.9971056439942113
0.6027996500437446,0.9971056439942113
0.6033274956217163,0.9971056439942113
0.6038562664329535,0.9971056439942113
0.6043859649122807,0.9971056439942113
0.6049165935030729,0.9971056439942113
0.6054481546572935,0.9971056439942113
0.6059806508355321,0.9971056439942113
0.6065140845070423,0.9971056439942113
0.6070484581497797,0.9971056439942113
0.607583774250441,0.9971056439942113
0.6081200353045013,0.9971056439942113
0.6086572438162544,0.9971056439942113
0.6091954022988506,0.9971056439942113
0.6097345132743363,0.9971056439942113
0.6102745792736936,0.9971056439942113
0.6108156028368794,0.9971056439942113
0.611357586512866,0.9971056439942113
0.6119005328596803,0.9971056439942113
0.6124444444444445,0.9971056439942113
0.6120996441281139,0.9956584659913169
0.6126447016918967,0.9956584659913169
0.6131907308377896,0.9956584659913169
0.6137377341659233,0.9956584659913169
0.6142857142857143,0.9956584659913169
0.6148346738159071,0.9956584659913169
0.6153846153846154,0.9956584659913169
0.6159355416293644,0.9956584659913169
0.6164874551971327,0.9956584659913169
0.6170403587443947,0.9956584659913169
0.6175942549371634,0.9956584659913169
0.6181491464510332,0.9956584659913169
0.6187050359712231,0.9956584659913169
0.6192619261926192,0.9956584659913169
0.6189189189189189,0.9942112879884226
0.6194770063119928,0.9942112879884226
0.6200361010830325,0.9942112879884226
0.6205962059620597,0.9942112879884226
0.6211573236889693,0.9942112879884226
0.6217194570135747,0.9942112879884226
0.6222826086956522,0.9942112879884226
