MAE,Species
23.24021150855796,S.viridis
25.13075025135839,S.viridis
24.73570407176817,S.viridis
24.199206134874327,S.viridis
26.29571703439559,S.viridis
20.93462810126173,S.viridis
22.51662973386532,S.viridis
19.515413865074333,S.viridis
23.964763989330343,S.viridis
25.48212692047861,S.viridis
22.43849585584879,S.bicolor(Tx2783)
21.334903855208296,S.bicolor(Tx2783)
24.554435712899675,S.bicolor(Tx2783)
22.8963514456876,S.bicolor(Tx2783)
23.340166740288645,S.bicolor(Tx2783)
20.010143482523308,S.bicolor(Tx2783)
20.969675029541207,S.bicolor(Tx2783)
22.004517657516104,S.bicolor(Tx2783)
19.673966397928243,S.bicolor(Tx2783)
21.068186212895064,S.bicolor(Tx2783)
23.54970597234112,S.bicolor(Tx436)
21.40136782917784,S.bicolor(Tx436)
25.62115197184616,S.bicolor(Tx436)
25.388823260707984,S.bicolor(Tx436)
21.229443977861468,S.bicolor(Tx436)
23.453268041550867,S.bicolor(Tx436)
24.115238554254557,S.bicolor(Tx436)
22.60049098937539,S.bicolor(Tx436)
23.28204205887221,S.bicolor(Tx436)
24.33429372026447,S.bicolor(Tx436)
