0,arabidopsis,CAGE
14,arabidopsis,CAGE
160,arabidopsis,CAGE
213,arabidopsis,CAGE
37,arabidopsis,CAGE
88,arabidopsis,CAGE
219,arabidopsis,CAGE
23,arabidopsis,5leaderP
0,arabidopsis,CAGE
86,arabidopsis,CAGE
78,arabidopsis,5leaderP
40,arabidopsis,CAGE
8,arabidopsis,CAGE
44,arabidopsis,5leaderP
96,arabidopsis,5leaderP
79,arabidopsis,5leaderP
41,arabidopsis,CAGE
20,arabidopsis,5leaderP
38,arabidopsis,CAGE
84,arabidopsis,CAGE
250,arabidopsis,CAGE
26,arabidopsis,5leaderP
144,arabidopsis,CAGE
123,arabidopsis,5leaderP
55,arabidopsis,CAGE
51,arabidopsis,5leaderP
148,arabidopsis,CAGE
60,arabidopsis,5leaderP
101,arabidopsis,5leaderP
143,arabidopsis,5leaderP
114,arabidopsis,5leaderP
246,arabidopsis,CAGE
55,arabidopsis,5leaderP
65,arabidopsis,5leaderP
79,arabidopsis,5leaderP
45,arabidopsis,5leaderP
132,arabidopsis,CAGE
42,arabidopsis,5leaderP
148,arabidopsis,CAGE
137,arabidopsis,5leaderP
27,arabidopsis,5leaderP
85,arabidopsis,5leaderP
86,arabidopsis,CAGE
220,arabidopsis,CAGE
149,arabidopsis,CAGE
165,arabidopsis,CAGE
53,arabidopsis,5leaderP
68,arabidopsis,CAGE
99,arabidopsis,5leaderP
167,arabidopsis,CAGE
88,arabidopsis,5leaderP
27,arabidopsis,5leaderP
27,arabidopsis,5leaderP
125,arabidopsis,CAGE
122,arabidopsis,CAGE
9,arabidopsis,CAGE
246,arabidopsis,CAGE
84,arabidopsis,CAGE
135,arabidopsis,CAGE
188,arabidopsis,CAGE
188,arabidopsis,5leaderP
99,arabidopsis,CAGE
141,arabidopsis,CAGE
61,arabidopsis,5leaderP
21,arabidopsis,5leaderP
28,arabidopsis,5leaderP
57,arabidopsis,CAGE
24,arabidopsis,CAGE
79,arabidopsis,5leaderP
9,arabidopsis,CAGE
160,arabidopsis,CAGE
76,arabidopsis,CAGE
39,arabidopsis,5leaderP
46,arabidopsis,CAGE
51,arabidopsis,CAGE
113,arabidopsis,5leaderP
9,arabidopsis,CAGE
95,arabidopsis,CAGE
89,arabidopsis,5leaderP
24,arabidopsis,5leaderP
52,arabidopsis,CAGE
189,arabidopsis,CAGE
