Ratio_cumulative,Robust_ratio
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.012595837897042717
0.06,0.04107338444687842
0.07,0.06462212486308871
0.08,0.0832420591456736
0.09,0.09419496166484119
0.1,0.10788608981380066
0.11,0.11007667031763417
0.12,0.12924424972617743
0.13,0.13745892661555312
0.14,0.14512595837897044
0.15,0.16046002190580505
0.16,0.16593647316538881
0.17,0.1851040525739321
0.18,0.19058050383351588
0.19,0.20974808324205915
0.2,0.2289156626506024
0.21,0.2289156626506024
0.22,0.23548740416210295
0.23,0.244249726177437
0.24,0.25848849945235486
0.25,0.28039430449069
0.26,0.28039430449069
0.27,0.28860898138006574
0.28,0.30339539978094193
0.29,0.3132530120481928
0.3,0.3253012048192771
0.31,0.32913472070098576
0.32,0.3378970427163198
0.33,0.3378970427163198
0.34,0.36856516976998904
0.35000000000000003,0.37130339539978097
0.36,0.38116100766703176
0.37,0.3877327491785323
0.38,0.395947426067908
0.39,0.4112814895947426
0.4,0.42771084337349397
0.41000000000000003,0.4299014238773275
0.42,0.43866374589266155
0.43,0.4529025191675794
0.44,0.45673603504928806
0.45,0.46768893756845564
0.46,0.47480832420591457
0.47000000000000003,0.48083242059145676
0.48,0.4868565169769989
0.49,0.4868565169769989
0.5,0.523001095290252
0.51,0.523001095290252
0.52,0.523001095290252
0.53,0.536144578313253
0.54,0.5470974808324206
0.55,0.5596933187294633
0.56,0.5668127053669222
0.5700000000000001,0.5733844468784228
0.58,0.5848849945235487
0.59,0.592552026286966
0.6,0.6056955093099672
0.61,0.6056955093099672
0.62,0.6166484118291348
0.63,0.624315443592552
0.64,0.6308871851040526
0.65,0.6412924424972618
0.66,0.6412924424972618
0.67,0.6577217962760131
0.68,0.6577217962760131
0.6900000000000001,0.6675794085432639
0.7000000000000001,0.6736035049288062
0.71,0.6785323110624315
0.72,0.6856516976998904
0.73,0.6971522453450164
0.74,0.7053669222343921
0.75,0.7201533406352684
0.76,0.7201533406352684
0.77,0.7322015334063526
0.78,0.7497261774370209
0.79,0.7568455640744798
0.8,0.7650602409638554
0.81,0.7677984665936474
0.8200000000000001,0.7858707557502739
0.8300000000000001,0.7902519167579408
0.84,0.80065717415115
0.85,0.8105147864184009
0.86,0.8225629791894852
0.87,0.8274917853231106
0.88,0.8362541073384447
0.89,0.8499452354874042
0.9,0.8576122672508215
0.91,0.8663745892661555
0.92,0.8696604600219058
0.93,0.8751369112814896
0.9400000000000001,0.8877327491785323
0.9500000000000001,0.9123767798466593
0.96,0.9244249726177437
0.97,0.9244249726177437
0.98,0.9244249726177437
0.99,0.9244249726177437
1.0,1.0
