Ratio_cumulative,Robust_ratio
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.006732495511669659
0.06,0.0210951526032316
0.07,0.03680430879712747
0.08,0.04824955116696589
0.09,0.05475763016157989
0.1,0.07114003590664272
0.11,0.07405745062836624
0.12,0.08931777378815081
0.13,0.09964093357271095
0.14,0.10278276481149012
0.15,0.11602333931777378
0.16,0.12051166965888689
0.17,0.13375224416517056
0.18,0.13734290843806105
0.19,0.14587073608617596
0.2,0.15776481149012567
0.21,0.15776481149012567
0.22,0.1635996409335727
0.23,0.17235188509874327
0.24,0.1826750448833034
0.25,0.2013016157989228
0.26,0.2013016157989228
0.27,0.20758527827648116
0.28,0.21476660682226212
0.29,0.22755834829443447
0.3,0.23473967684021543
0.31,0.23765709156193895
0.32,0.24416517055655296
0.33,0.24416517055655296
0.34,0.26997307001795334
0.35000000000000003,0.2715439856373429
0.36,0.2771543985637343
0.37,0.28254039497307004
0.38,0.29084380610412924
0.39,0.30251346499102333
0.4,0.3146319569120287
0.41000000000000003,0.31597845601436264
0.42,0.3233842010771993
0.43,0.3343806104129264
0.44,0.3404398563734291
0.45,0.3503141831238779
0.46,0.35570017953321365
0.47000000000000003,0.3635547576301616
0.48,0.37073608617594256
0.49,0.37073608617594256
0.5,0.41045780969479356
0.51,0.41045780969479356
0.52,0.41045780969479356
0.53,0.41898563734290845
0.54,0.42953321364452424
0.55,0.4358168761220826
0.56,0.4447935368043088
0.5700000000000001,0.4499551166965889
0.58,0.46162477558348297
0.59,0.47015260323159785
0.6,0.4856373429084381
0.61,0.4856373429084381
0.62,0.4982046678635548
0.63,0.505834829443447
0.64,0.5143626570915619
0.65,0.52737881508079
0.66,0.52737881508079
0.67,0.5540843806104129
0.68,0.5540843806104129
0.6900000000000001,0.5626122082585279
0.7000000000000001,0.5711400359066428
0.71,0.5763016157989228
0.72,0.5843806104129264
0.73,0.5985188509874326
0.74,0.6050269299820467
0.75,0.623653500897666
0.76,0.623653500897666
0.77,0.6350987432675045
0.78,0.6463195691202872
0.79,0.6532764811490126
0.8,0.6653949730700179
0.81,0.6692100538599641
0.8200000000000001,0.684245960502693
0.8300000000000001,0.6903052064631957
0.84,0.7033213644524237
0.85,0.7138689407540395
0.86,0.7257630161579892
0.87,0.7342908438061041
0.88,0.743491921005386
0.89,0.7623429084380611
0.9,0.7755834829443446
0.91,0.7888240574506283
0.92,0.7953321364452424
0.93,0.8078994614003591
0.9400000000000001,0.8249551166965888
0.9500000000000001,0.8565978456014363
0.96,0.867818671454219
0.97,0.867818671454219
0.98,0.867818671454219
0.99,0.867818671454219
1.0,1.0
