Ratio_cumulative,Robust_ratio
0.0,0.006190006279716516
0.01,0.006190006279716516
0.02,0.006190006279716516
0.03,0.006190006279716516
0.04,0.006190006279716516
0.05,0.008432762178164528
0.06,0.011841751143805508
0.07,0.016506683412577376
0.08,0.020992195209473402
0.09,0.02431147393917646
0.1,0.030770610926706736
0.11,0.03139858257827218
0.12,0.03678119673454741
0.13,0.04171525971113304
0.14,0.043868305373643134
0.15,0.04943034000179421
0.16,0.052031936843993896
0.17,0.05795281241589666
0.18,0.05920875571902754
0.19,0.06351484704404772
0.2,0.07051224544720552
0.21,0.07051224544720552
0.22,0.07383152417690858
0.23,0.07813761550192877
0.24,0.08271283753476272
0.25,0.09293980443168566
0.26,0.09293980443168566
0.27,0.09563111150982327
0.28,0.09966807212702969
0.29,0.10406387368798779
0.3,0.10854938548488383
0.31,0.11016416973176639
0.32,0.11393199964115906
0.33,0.11393199964115906
0.34,0.12882389880685385
0.35000000000000003,0.12927244998654347
0.36,0.1333991208396878
0.37,0.13716695074908047
0.38,0.14084507042253522
0.39,0.14506145151161748
0.4,0.15331479321790617
0.41000000000000003,0.1538530546335337
0.42,0.15797972548667802
0.43,0.1656948057773392
0.44,0.16811698214766305
0.45,0.17385843724768996
0.46,0.17681887503364133
0.47000000000000003,0.18175293801022696
0.48,0.18471337579617833
0.49,0.18471337579617833
0.5,0.21395891271194042
0.51,0.21395891271194042
0.52,0.21395891271194042
0.53,0.21781645285727103
0.54,0.22328877724948418
0.55,0.22813312999013188
0.56,0.23342603391046918
0.5700000000000001,0.2353099488651655
0.58,0.24239705750426124
0.59,0.2469722795370952
0.6,0.25773750784964566
0.61,0.25773750784964566
0.62,0.2653628779043689
0.63,0.2732573786669059
0.64,0.27980622589037407
0.65,0.2872521754732215
0.66,0.2872521754732215
0.67,0.3118327801202117
0.68,0.3118327801202117
0.6900000000000001,0.3162285816811698
0.7000000000000001,0.3241230824437068
0.71,0.32690409975778234
0.72,0.33596483358751233
0.73,0.3433210729344218
0.74,0.34681977213600074
0.75,0.3651206602673365
0.76,0.3651206602673365
0.77,0.37355342244550105
0.78,0.3818067641517897
0.79,0.3883556113752579
0.8,0.4066564995065937
0.81,0.4087198349331659
0.8200000000000001,0.41921593253790257
0.8300000000000001,0.4238808648066744
0.84,0.4407463891630035
0.85,0.45231900959899524
0.86,0.4669417780568763
0.87,0.47411859693190994
0.88,0.48685745043509465
0.89,0.5081187763523818
0.9,0.522562124338387
0.91,0.5342244550103167
0.92,0.5431954786041088
0.93,0.5613169462635687
0.9400000000000001,0.5790795729792769
0.9500000000000001,0.6082353996591011
0.96,0.6158607697138243
0.97,0.6158607697138243
0.98,0.6158607697138243
0.99,0.6158607697138243
1.0,1.0
