Group,Total_bases,Tag_count,Tags/Kb,Sample,Tissue
TSS_up_10kb,272110831,1509025,5.55,SRX5085631,Ovule
TES_down_1kb,35472067,398371,11.23,SRX5085631,Ovule
TES_down_5kb,139675049,998250,7.15,SRX5085631,Ovule
TES_down_10kb,248853848,1227455,4.93,SRX5085631,Ovule
CDS_Exons,50265615,26979825,536.75,SRX5085632,Seedling
5'UTR_Exons,4540282,7044770,1551.61,SRX5085632,Seedling
3'UTR_Exons,6160992,1773768,287.9,SRX5085632,Seedling
Introns,75370106,2875282,38.15,SRX5085632,Seedling
TSS_up_1kb,39495842,601653,15.23,SRX5085632,Seedling
TSS_up_5kb,159493242,1151555,7.22,SRX5085632,Seedling
TSS_up_10kb,272110831,1601243,5.88,SRX5085632,Seedling
TES_down_1kb,35472067,486116,13.7,SRX5085632,Seedling
TES_down_5kb,139675049,1142709,8.18,SRX5085632,Seedling
TES_down_10kb,248853848,1365851,5.49,SRX5085632,Seedling
CDS_Exons,50265615,21566683,429.05,SRX5085611,Sepal
5'UTR_Exons,4540282,5621465,1238.13,SRX5085611,Sepal
3'UTR_Exons,6160992,695091,112.82,SRX5085611,Sepal
Introns,75370106,1593269,21.14,SRX5085611,Sepal
TSS_up_1kb,39495842,487181,12.33,SRX5085611,Sepal
TSS_up_5kb,159493242,758279,4.75,SRX5085611,Sepal
TSS_up_10kb,272110831,929606,3.42,SRX5085611,Sepal
TES_down_1kb,35472067,122771,3.46,SRX5085611,Sepal
TES_down_5kb,139675049,379743,2.72,SRX5085611,Sepal
TES_down_10kb,248853848,508751,2.04,SRX5085611,Sepal
CDS_Exons,50265615,22706274,451.73,SRX5085612,Flower
5'UTR_Exons,4540282,5771523,1271.18,SRX5085612,Flower
3'UTR_Exons,6160992,1377856,223.64,SRX5085612,Flower
Introns,75370106,2269487,30.11,SRX5085612,Flower
TSS_up_1kb,39495842,611122,15.47,SRX5085612,Flower
TSS_up_5kb,159493242,1070611,6.71,SRX5085612,Flower
TSS_up_10kb,272110831,1478670,5.43,SRX5085612,Flower
TES_down_1kb,35472067,350924,9.89,SRX5085612,Flower
TES_down_5kb,139675049,904409,6.48,SRX5085612,Flower
TES_down_10kb,248853848,1170809,4.7,SRX5085612,Flower
CDS_Exons,50265615,21516940,428.06,SRX5085613,Bract
5'UTR_Exons,4540282,6469603,1424.93,SRX5085613,Bract
3'UTR_Exons,6160992,1287525,208.98,SRX5085613,Bract
Introns,75370106,2436617,32.33,SRX5085613,Bract
TSS_up_1kb,39495842,587244,14.87,SRX5085613,Bract
TSS_up_5kb,159493242,1046866,6.56,SRX5085613,Bract
TSS_up_10kb,272110831,1337054,4.91,SRX5085613,Bract
TES_down_1kb,35472067,299827,8.45,SRX5085613,Bract
TES_down_5kb,139675049,932382,6.68,SRX5085613,Bract
TES_down_10kb,248853848,1170661,4.7,SRX5085613,Bract
CDS_Exons,50265615,2118899,42.15,SRX5085614,Phloem
5'UTR_Exons,4540282,223063,49.13,SRX5085614,Phloem
3'UTR_Exons,6160992,256546,41.64,SRX5085614,Phloem
Introns,75370106,2834898,37.61,SRX5085614,Phloem
TSS_up_1kb,39495842,624469,15.81,SRX5085614,Phloem
TSS_up_5kb,159493242,2924253,18.33,SRX5085614,Phloem
TSS_up_10kb,272110831,5241521,19.26,SRX5085614,Phloem
TES_down_1kb,35472067,605196,17.06,SRX5085614,Phloem
TES_down_5kb,139675049,2171514,15.55,SRX5085614,Phloem
TES_down_10kb,248853848,3813454,15.32,SRX5085614,Phloem
CDS_Exons,50265615,17574188,349.63,SRX5085615,Cotyledon
5'UTR_Exons,4540282,4603466,1013.92,SRX5085615,Cotyledon
3'UTR_Exons,6160992,1641379,266.41,SRX5085615,Cotyledon
Introns,75370106,1977776,26.24,SRX5085615,Cotyledon
TSS_up_1kb,39495842,418906,10.61,SRX5085615,Cotyledon
TSS_up_5kb,159493242,796279,4.99,SRX5085615,Cotyledon
TSS_up_10kb,272110831,1071381,3.94,SRX5085615,Cotyledon
TES_down_1kb,35472067,305811,8.62,SRX5085615,Cotyledon
TES_down_5kb,139675049,769386,5.51,SRX5085615,Cotyledon
TES_down_10kb,248853848,966534,3.88,SRX5085615,Cotyledon
CDS_Exons,50265615,22272440,443.09,SRX5085616,Leaf
5'UTR_Exons,4540282,6130667,1350.28,SRX5085616,Leaf
3'UTR_Exons,6160992,636019,103.23,SRX5085616,Leaf
Introns,75370106,1786832,23.71,SRX5085616,Leaf
TSS_up_1kb,39495842,533525,13.51,SRX5085616,Leaf
TSS_up_5kb,159493242,833103,5.22,SRX5085616,Leaf
TSS_up_10kb,272110831,982591,3.61,SRX5085616,Leaf
TES_down_1kb,35472067,131063,3.69,SRX5085616,Leaf
TES_down_5kb,139675049,447673,3.21,SRX5085616,Leaf
TES_down_10kb,248853848,551244,2.22,SRX5085616,Leaf
