Group,Total_bases,Tag_count,Tags/Kb,Sample,Tissue
Introns,18868686,187140,9.92,DRX092372,leaf
TSS_up_1kb,19709864,3081,0.16,DRX092372,leaf
TSS_up_5kb,38556582,7026,0.18,DRX092372,leaf
TSS_up_10kb,42745767,7627,0.18,DRX092372,leaf
TES_down_1kb,15341749,4129,0.27,DRX092372,leaf
TES_down_5kb,34952125,6007,0.17,DRX092372,leaf
TES_down_10kb,41855492,6114,0.15,DRX092372,leaf
CDS_Exons,33782947,432544,12.8,DRX092373,leaf
5'UTR_Exons,10684009,339630,31.79,DRX092373,leaf
3'UTR_Exons,11680263,84814,7.26,DRX092373,leaf
Introns,18868686,32589,1.73,DRX092373,leaf
TSS_up_1kb,19709864,1029,0.05,DRX092373,leaf
TSS_up_5kb,38556582,2126,0.06,DRX092373,leaf
TSS_up_10kb,42745767,2320,0.05,DRX092373,leaf
TES_down_1kb,15341749,1375,0.09,DRX092373,leaf
TES_down_5kb,34952125,1802,0.05,DRX092373,leaf
TES_down_10kb,41855492,1838,0.04,DRX092373,leaf
CDS_Exons,33782947,1594918,47.21,DRX092371,leaf
5'UTR_Exons,10684009,789000,73.85,DRX092371,leaf
3'UTR_Exons,11680263,156204,13.37,DRX092371,leaf
Introns,18868686,173203,9.18,DRX092371,leaf
TSS_up_1kb,19709864,3099,0.16,DRX092371,leaf
TSS_up_5kb,38556582,6714,0.17,DRX092371,leaf
TSS_up_10kb,42745767,7319,0.17,DRX092371,leaf
TES_down_1kb,15341749,3871,0.25,DRX092371,leaf
TES_down_5kb,34952125,5677,0.16,DRX092371,leaf
TES_down_10kb,41855492,5778,0.14,DRX092371,leaf
CDS_Exons,33782947,420491,12.45,DRX092374,leaf
5'UTR_Exons,10684009,318130,29.78,DRX092374,leaf
3'UTR_Exons,11680263,88679,7.59,DRX092374,leaf
Introns,18868686,34583,1.83,DRX092374,leaf
TSS_up_1kb,19709864,1117,0.06,DRX092374,leaf
TSS_up_5kb,38556582,2378,0.06,DRX092374,leaf
TSS_up_10kb,42745767,2592,0.06,DRX092374,leaf
TES_down_1kb,15341749,1533,0.1,DRX092374,leaf
TES_down_5kb,34952125,2008,0.06,DRX092374,leaf
TES_down_10kb,41855492,2049,0.05,DRX092374,leaf
CDS_Exons,33782947,42084,1.25,ERX1413466,inflorescence
5'UTR_Exons,10684009,124475,11.65,ERX1413466,inflorescence
3'UTR_Exons,11680263,3795,0.32,ERX1413466,inflorescence
Introns,18868686,7063,0.37,ERX1413466,inflorescence
TSS_up_1kb,19709864,293,0.01,ERX1413466,inflorescence
TSS_up_5kb,38556582,540,0.01,ERX1413466,inflorescence
TSS_up_10kb,42745767,591,0.01,ERX1413466,inflorescence
TES_down_1kb,15341749,211,0.01,ERX1413466,inflorescence
TES_down_5kb,34952125,373,0.01,ERX1413466,inflorescence
TES_down_10kb,41855492,398,0.01,ERX1413466,inflorescence
CDS_Exons,33782947,373431,11.05,DRX066158,root
5'UTR_Exons,10684009,420747,39.38,DRX066158,root
3'UTR_Exons,11680263,48798,4.18,DRX066158,root
Introns,18868686,28587,1.52,DRX066158,root
TSS_up_1kb,19709864,1112,0.06,DRX066158,root
TSS_up_5kb,38556582,1907,0.05,DRX066158,root
TSS_up_10kb,42745767,2018,0.05,DRX066158,root
TES_down_1kb,15341749,1244,0.08,DRX066158,root
TES_down_5kb,34952125,2487,0.07,DRX066158,root
TES_down_10kb,41855492,2542,0.06,DRX066158,root
CDS_Exons,33782947,830477,24.58,DRX185853,seeding
5'UTR_Exons,10684009,595075,55.7,DRX185853,seeding
3'UTR_Exons,11680263,68354,5.85,DRX185853,seeding
Introns,18868686,59457,3.15,DRX185853,seeding
TSS_up_1kb,19709864,703,0.04,DRX185853,seeding
TSS_up_5kb,38556582,1169,0.03,DRX185853,seeding
TSS_up_10kb,42745767,1296,0.03,DRX185853,seeding
TES_down_1kb,15341749,1421,0.09,DRX185853,seeding
TES_down_5kb,34952125,3353,0.1,DRX185853,seeding
TES_down_10kb,41855492,3372,0.08,DRX185853,seeding
CDS_Exons,33782947,721713,21.36,DRX185852,seeding
5'UTR_Exons,10684009,533825,49.96,DRX185852,seeding
3'UTR_Exons,11680263,58431,5.0,DRX185852,seeding
Introns,18868686,52636,2.79,DRX185852,seeding
TSS_up_1kb,19709864,569,0.03,DRX185852,seeding
TSS_up_5kb,38556582,954,0.02,DRX185852,seeding
TSS_up_10kb,42745767,1062,0.02,DRX185852,seeding
TES_down_1kb,15341749,1326,0.09,DRX185852,seeding
TES_down_5kb,34952125,3200,0.09,DRX185852,seeding
TES_down_10kb,41855492,3209,0.08,DRX185852,seeding
CDS_Exons,33782947,796659,23.58,DRX185855,seeding
5'UTR_Exons,10684009,569617,53.31,DRX185855,seeding
3'UTR_Exons,11680263,45125,3.86,DRX185855,seeding
Introns,18868686,62884,3.33,DRX185855,seeding
TSS_up_1kb,19709864,675,0.03,DRX185855,seeding
TSS_up_5kb,38556582,1052,0.03,DRX185855,seeding
TSS_up_10kb,42745767,1178,0.03,DRX185855,seeding
TES_down_1kb,15341749,1266,0.08,DRX185855,seeding
TES_down_5kb,34952125,3090,0.09,DRX185855,seeding
TES_down_10kb,41855492,3105,0.07,DRX185855,seeding
CDS_Exons,33782947,794396,23.51,DRX185854,seeding
5'UTR_Exons,10684009,613470,57.42,DRX185854,seeding
3'UTR_Exons,11680263,45434,3.89,DRX185854,seeding
Introns,18868686,59034,3.13,DRX185854,seeding
TSS_up_1kb,19709864,740,0.04,DRX185854,seeding
TSS_up_5kb,38556582,1130,0.03,DRX185854,seeding
TSS_up_10kb,42745767,1248,0.03,DRX185854,seeding
TES_down_1kb,15341749,1268,0.08,DRX185854,seeding
TES_down_5kb,34952125,3058,0.09,DRX185854,seeding
TES_down_10kb,41855492,3078,0.07,DRX185854,seeding
CDS_Exons,33782947,220932,6.54,SRX6779608,seeding
5'UTR_Exons,10684009,332502,31.12,SRX6779608,seeding
3'UTR_Exons,11680263,21757,1.86,SRX6779608,seeding
Introns,18868686,35363,1.87,SRX6779608,seeding
TSS_up_1kb,19709864,1240,0.06,SRX6779608,seeding
TSS_up_5kb,38556582,2318,0.06,SRX6779608,seeding
TSS_up_10kb,42745767,2611,0.06,SRX6779608,seeding
TES_down_1kb,15341749,984,0.06,SRX6779608,seeding
TES_down_5kb,34952125,2167,0.06,SRX6779608,seeding
TES_down_10kb,41855492,2259,0.05,SRX6779608,seeding
CDS_Exons,33782947,277996,8.23,SRX6779610,seeding
5'UTR_Exons,10684009,387794,36.3,SRX6779610,seeding
3'UTR_Exons,11680263,24457,2.09,SRX6779610,seeding
Introns,18868686,43346,2.3,SRX6779610,seeding
TSS_up_1kb,19709864,1437,0.07,SRX6779610,seeding
TSS_up_5kb,38556582,2692,0.07,SRX6779610,seeding
TSS_up_10kb,42745767,3000,0.07,SRX6779610,seeding
TES_down_1kb,15341749,1015,0.07,SRX6779610,seeding
TES_down_5kb,34952125,2201,0.06,SRX6779610,seeding
TES_down_10kb,41855492,2315,0.06,SRX6779610,seeding
CDS_Exons,33782947,245658,7.27,SRX6779609,seeding
5'UTR_Exons,10684009,341081,31.92,SRX6779609,seeding
3'UTR_Exons,11680263,23583,2.02,SRX6779609,seeding
Introns,18868686,35759,1.9,SRX6779609,seeding
TSS_up_1kb,19709864,1171,0.06,SRX6779609,seeding
TSS_up_5kb,38556582,2297,0.06,SRX6779609,seeding
TSS_up_10kb,42745767,2551,0.06,SRX6779609,seeding
TES_down_1kb,15341749,954,0.06,SRX6779609,seeding
TES_down_5kb,34952125,2107,0.06,SRX6779609,seeding
TES_down_10kb,41855492,2201,0.05,SRX6779609,seeding
