recall,precision,ModelType
0.0,1.0,LR
0.001001001001001001,1.0,LR
0.002002002002002002,0.9881194920410609,LR
0.003003003003003003,0.9920482387149053,LR
0.004004004004004004,0.9881193598374622,LR
0.005005005005005005,0.9811260782377657,LR
0.006006006006006006,0.9842219340940569,LR
0.007007007007007007,0.9864455385298262,LR
0.008008008008008008,0.9881197079515577,LR
0.009009009009009009,0.984222100260227,LR
0.01001001001001001,0.9857774605441524,LR
0.011011011011011011,0.9849284407242822,LR
0.012012012012012012,0.986167073123595,LR
0.013013013013013013,0.9854180959574975,LR
0.014014014014014014,0.9831141530756408,LR
0.015015015015015015,0.9826716679172032,LR
0.016016016016016016,0.9837370736700358,LR
0.017017017017017015,0.9833095014812118,LR
0.018018018018018018,0.9829297361553925,LR
0.01901901901901902,0.9838136324710305,LR
0.02002002002002002,0.9846104945631015,LR
0.02102102102102102,0.9820086868127212,LR
0.022022022022022022,0.9828124210046757,LR
0.023023023023023025,0.9835474095473503,LR
0.024024024024024024,0.9842221210921477,LR
0.025025025025025023,0.9848436688879026,LR
0.026026026026026026,0.9836252150901834,LR
0.02702702702702703,0.9833601552515738,LR
0.028028028028028028,0.9831141581768791,LR
0.029029029029029027,0.9836869326905238,LR
0.03003003003003003,0.9842221198339504,LR
0.031031031031031032,0.9839717178005648,LR
0.03203203203203203,0.9837370805163176,LR
0.03303303303303303,0.9842221203323316,LR
0.03403403403403403,0.9833095014812118,LR
0.035035035035035036,0.9837786363744371,LR
0.036036036036036036,0.9842221154690897,LR
0.037037037037037035,0.984012315074048,LR
0.03803803803803804,0.9844264914891809,LR
0.03903903903903904,0.9848197510411146,LR
0.04004004004004004,0.9846104974583365,LR
0.04104104104104104,0.9844115307307636,LR
0.04204204204204204,0.9847770386402288,LR
0.043043043043043044,0.9851257955082545,LR
0.044044044044044044,0.9849284888571259,LR
0.04504504504504504,0.9852584712714489,LR
0.04604604604604605,0.9840533582810915,LR
0.04704704704704705,0.9843873504092011,LR
0.04804804804804805,0.9847076403563824,LR
0.04904904904904905,0.9850150525032006,LR
0.050050050050050046,0.9853103489079342,LR
0.05105105105105105,0.9846790674119775,LR
0.05205205205205205,0.9845208454244787,LR
0.05305305305305305,0.9848084686546259,LR
0.05405405405405406,0.9846536700294286,LR
0.055055055055055056,0.9845045469575445,LR
0.056056056056056056,0.9843607925897729,LR
0.057057057057057055,0.984630947511741,LR
0.058058058058058054,0.9836869327502031,LR
0.05905905905905906,0.9835645537997849,LR
0.06006006006006006,0.9834462870242551,LR
0.06106106106106106,0.9825701763528119,LR
0.062062062062062065,0.9824719722626227,LR
0.06306306306306306,0.9827453947813306,LR
0.06406406406406406,0.9830104158150214,LR
0.06506506506506507,0.9825526117022654,LR
0.06606606606606606,0.9824606281299194,LR
0.06706706706706707,0.9827178856580377,LR
0.06806806806806806,0.9822848257386927,LR
0.06906906906906907,0.9822007681485919,LR
0.07007007007007007,0.9824505790365748,LR
0.07107107107107107,0.9823665287644705,LR
0.07207207207207207,0.9822848256096023,LR
0.07307307307307308,0.9825232581552376,LR
0.07407407407407407,0.9827553574786475,LR
0.07507507507507508,0.982671674824629,LR
0.07607607607607608,0.9825902072355537,LR
0.07707707707707707,0.9825108692425626,LR
0.07807807807807808,0.9821361187048787,LR
0.07907907907907907,0.9817711294687979,LR
0.08008008008008008,0.9819948890056521,LR
0.08108108108108109,0.9813547707517996,LR
