recall,precision,ModelType
0.0,1.0,LR
0.001001001001001001,1.0,LR
0.002002002002002002,1.0,LR
0.003003003003003003,1.0,LR
0.004004004004004004,1.0,LR
0.005005005005005005,1.0,LR
0.006006006006006006,1.0,LR
0.007007007007007007,0.9772034190638841,LR
0.008008008008008008,0.97999713999714,LR
0.009009009009009009,0.964983131952279,LR
0.01001001001001001,0.9683736315680761,LR
0.011011011011011011,0.9711657827599857,LR
0.012012012012012012,0.9735050840313999,LR
0.013013013013013013,0.975493409699974,LR
0.014014014014014014,0.9772042157099627,LR
0.015015015015015015,0.9786918009292753,LR
0.016016016016016016,0.9799971688860578,LR
0.017017017017017015,0.9811514918198042,LR
0.018018018018018018,0.9735058766265101,LR
0.01901901901901902,0.9748652013357895,LR
0.02002002002002002,0.9760919014252347,LR
0.02102102102102102,0.9772044772044771,LR
0.022022022022022022,0.9782181419756794,LR
0.023023023023023025,0.9657191438013356,LR
0.024024024024024024,0.9607788903454538,LR
0.025025025025025023,0.962288467712996,LR
0.026026026026026026,0.963686139589754,LR
0.02702702702702703,0.9649839558040293,LR
0.028028028028028028,0.9607786180506035,LR
0.029029029029029027,0.9620798236544418,LR
0.03003003003003003,0.9632974942426582,LR
0.031031031031031032,0.9644394212922132,LR
0.03203203203203203,0.9655124568064138,LR
0.03303303303303303,0.9665225033646085,LR
0.03403403403403403,0.9674750547274235,LR
0.035035035035035036,0.9683749217400516,LR
0.036036036036036036,0.9692263559641255,LR
0.037037037037037035,0.9700331636430826,LR
0.03803803803803804,0.9707987625002965,LR
0.03903903903903904,0.9715262300628154,LR
0.04004004004004004,0.972218344949642,LR
0.04104104104104104,0.9728775496636382,LR
0.04204204204204204,0.973506181996748,LR
0.043043043043043044,0.9741063463354019,LR
0.044044044044044044,0.9746799329020854,LR
0.04504504504504504,0.9752286682592675,LR
0.04604604604604605,0.975754132640907,LR
0.04704704704704705,0.9729577493205529,LR
0.04804804804804805,0.9735062337865357,LR
0.04904904904904905,0.9740328737092491,LR
0.050050050050050046,0.9745389712834865,LR
0.05105105105105105,0.9750257266612407,LR
0.05205205205205205,0.9754942274594813,LR
0.05305305305305305,0.9759454812821433,LR
0.05405405405405406,0.9735061975041154,LR
0.055055055055055056,0.971167132550418,LR
0.056056056056056056,0.9716674406830216,LR
0.057057057057057055,0.9694507989060159,LR
0.058058058058058054,0.9646929833096913,LR
0.05905905905905906,0.9652706110745327,LR
0.06006006006006006,0.9658296506203675,LR
0.06106106106106106,0.9663709846596673,LR
0.062062062062062065,0.966895440904892,LR
0.06306306306306306,0.9674037962850447,LR
0.06406406406406406,0.9678967807802914,LR
0.06506506506506507,0.9660250179420823,LR
0.06606606606606606,0.9665225399429644,LR
0.06706706706706707,0.9670057071499912,LR
0.06806806806806806,0.9674751317442734,LR
0.06906906906906907,0.965719300693126,LR
0.07007007007007007,0.966192475191316,LR
0.07107107107107107,0.9645085242917222,LR
0.07207207207207207,0.9649842172011929,LR
0.07307307307307308,0.961295394799479,LR
0.07407407407407407,0.9617984334328932,LR
0.07507507507507508,0.9622885694568019,LR
0.07607607607607608,0.9627662928058186,LR
0.07707707707707707,0.9632320689288261,LR
0.07807807807807808,0.9636863402992435,LR
0.07907907907907907,0.9641295278149061,LR
0.08008008008008008,0.9626667569136205,LR
0.08108108108108109,0.9631106608979718,LR
0.08208208208208208,0.9635441178745022,LR
