fpr,tpr,ModelType
0.0,0.0,LR
0.001001001001001,0.0452472703031024,LR
0.002002002002002,0.0733529110976435,LR
0.003003003003003,0.0733529110976435,LR
0.004004004004004,0.1121345277673084,LR
0.005005005005005,0.1270784793182006,LR
0.006006006006006,0.130676715422714,LR
0.007007007007007,0.1610930387350149,LR
0.008008008008008,0.1686076383898766,LR
0.009009009009009,0.1893337983164041,LR
0.01001001001001,0.1969935069622139,LR
0.011011011011011,0.2046320620458514,LR
0.012012012012012,0.2098170879215876,LR
0.013013013013013,0.2267468588042466,LR
0.014014014014014,0.2275292201129237,LR
0.015015015015015,0.2366142576466695,LR
0.016016016016016,0.2474871132827799,LR
0.017017017017017,0.2561894650254834,LR
0.018018018018018,0.2678726713851164,LR
0.019019019019019,0.270116294767045,LR
0.02002002002002,0.2719304562003385,LR
0.021021021021021,0.2873360692931997,LR
0.022022022022022,0.2888503187989898,LR
0.023023023023023,0.3073248090387018,LR
0.024024024024024,0.3142589577320057,LR
0.025025025025025,0.3168751211266088,LR
0.026026026026026,0.3301432651777982,LR
0.027027027027027,0.33129289385563,LR
0.028028028028028,0.3360374222509513,LR
0.029029029029029,0.3402384853953139,LR
0.03003003003003,0.3429331227593108,LR
0.031031031031031,0.3483299602337334,LR
0.032032032032032,0.3539718777072577,LR
0.033033033033033,0.3606773848967187,LR
0.034034034034034,0.3657431123340596,LR
0.035035035035035,0.3690312032742014,LR
0.036036036036036,0.3765727767815636,LR
0.037037037037037,0.3885381980928227,LR
0.038038038038038,0.3918194794864202,LR
0.039039039039039,0.3954214441196298,LR
0.04004004004004,0.3973389261978333,LR
0.041041041041041,0.4027393550042413,LR
0.042042042042042,0.4046494680061367,LR
0.043043043043043,0.4105982106605575,LR
0.044044044044044,0.4145108150640633,LR
0.045045045045045,0.4192802040056224,LR
0.046046046046046,0.4272123246513852,LR
0.047047047047047,0.4316909344949234,LR
0.048048048048048,0.4341639328534062,LR
0.049049049049049,0.4369542516563789,LR
0.05005005005005,0.4419498027228797,LR
0.051051051051051,0.4453309073991409,LR
0.052052052052052,0.4506976444585156,LR
0.053053053053053,0.4548303062622375,LR
0.054054054054054,0.4592957305114377,LR
0.055055055055055,0.46548901523252,LR
0.056056056056056,0.4686354063031451,LR
0.057057057057057,0.4702488595305343,LR
0.058058058058058,0.4740566624527676,LR
0.059059059059059,0.4763210672200149,LR
0.06006006006006,0.4792630688769327,LR
0.061061061061061,0.4828723317893668,LR
0.062062062062062,0.4848139139659695,LR
